Dataset,SSL_Model,Architecture,Accuracy,F1 Score,ROC AUC,Sensitivity (MDD),Specificity (HC),Accuracy_std,F1_std,ROC_AUC_std,Sensitivity_std,Specificity_std
edaic,w2v2-robust,Bi-GRU + Attention,0.3043478260869565,0.4285714285714285,0.5882352941176471,1.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0
edaic,w2v2-robust,Mean Pooling,0.2608695652173913,0.4137931034482758,0.5980392156862745,1.0,0.0,0.0,0.0,0.0,0.0,0.0
edaic,w2v2-robust,NetVLAD,0.2608695652173913,0.4137931034482758,0.4656862745098039,1.0,0.0,0.0,0.0,0.0,0.0,0.0
edaic,w2v2-robust,Self-Attention,0.2608695652173913,0.4137931034482758,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
edaic,w2v2-robust,Statistical Pooling,0.2608695652173913,0.4137931034482758,0.5882352941176471,1.0,0.0,0.0,0.0,0.0,0.0,0.0
edaic,w2v2-robust,Transformer Encoder,0.2608695652173913,0.4137931034482758,0.5196078431372548,1.0,0.0,0.0,0.0,0.0,0.0,0.0
edaic,wavlm-base-plus,Bi-GRU + Attention,0.782608695652174,0.6153846153846154,0.6470588235294117,0.6666666666666666,0.8235294117647058,0.0,0.0,0.0,0.0,0.0
edaic,wavlm-base-plus,Mean Pooling,0.782608695652174,0.6153846153846154,0.6568627450980392,0.6666666666666666,0.8235294117647058,0.0,0.0,0.0,0.0,0.0
edaic,wavlm-base-plus,NetVLAD,0.8695652173913043,0.6666666666666666,0.6764705882352942,0.5,1.0,0.0,0.0,0.0,0.0,0.0
edaic,wavlm-base-plus,Self-Attention,0.8695652173913043,0.6666666666666666,0.7156862745098039,0.5,1.0,0.0,0.0,0.0,0.0,0.0
edaic,wavlm-base-plus,Statistical Pooling,0.7391304347826086,0.5714285714285714,0.7156862745098039,0.6666666666666666,0.7647058823529411,0.0,0.0,0.0,0.0,0.0
edaic,wavlm-base-plus,Transformer Encoder,0.6086956521739131,0.4705882352941176,0.6470588235294117,0.6666666666666666,0.5882352941176471,0.0,0.0,0.0,0.0,0.0
edaic,wavlm-large,Bi-GRU + Attention,0.782608695652174,0.6153846153846154,0.7352941176470588,0.6666666666666666,0.8235294117647058,0.0,0.0,0.0,0.0,0.0
edaic,wavlm-large,Mean Pooling,0.6521739130434783,0.5555555555555556,0.6568627450980392,0.8333333333333334,0.5882352941176471,0.0,0.0,0.0,0.0,0.0
edaic,wavlm-large,NetVLAD,0.5652173913043478,0.5,0.6568627450980392,0.8333333333333334,0.4705882352941176,0.0,0.0,0.0,0.0,0.0
